,L,nh,x->y,y->x
0,1,2,-3.020806312561035,-2.937878370285034
1,1,4,-2.9723312854766846,-2.9084949493408203
2,1,5,-3.7806243896484375,-3.6311702728271484
3,1,8,-4.322274684906006,-4.090853691101074
4,1,10,-4.243011474609375,-4.209737300872803
5,2,2,-4.154606819152832,-4.06614875793457
6,2,4,-3.410224199295044,-3.2044997215270996
7,2,5,-4.554864883422852,-4.4249043464660645
8,2,8,-4.914989948272705,-4.533700466156006
9,2,10,-5.120601654052734,-5.088573455810547
10,3,2,-4.306187629699707,-4.150954246520996
11,3,4,-4.22746467590332,-4.277283191680908
12,3,5,-5.322512626647949,-5.202968597412109
13,3,8,-5.0045294761657715,-4.571174621582031
14,3,10,-5.661087512969971,-5.643518924713135
