,L,nh,x->y,y->x
0,1,2,-2.9860544204711914,-2.9955010414123535
1,1,4,-2.9188568592071533,-2.802284002304077
2,1,5,-3.7254445552825928,-3.603325605392456
3,1,8,-4.467599391937256,-3.7354865074157715
4,1,10,-4.24665641784668,-4.242062568664551
5,2,2,-3.958319902420044,-3.5676002502441406
6,2,4,-3.1594793796539307,-3.0298070907592773
7,2,5,-4.351959228515625,-3.510359048843384
8,2,8,-5.179021835327148,-4.184860706329346
9,2,10,-5.401374340057373,-5.025943279266357
10,3,2,-4.017421722412109,-2.9406485557556152
11,3,4,-3.3535666465759277,-3.7414968013763428
12,3,5,-4.9455885887146,-4.11983060836792
13,3,8,-5.119028568267822,-4.400167465209961
14,3,10,-5.830204963684082,-5.386748790740967
