onset	duration
40.2	0.05
43.3	0.05
46.4	0.05
49.5	0.05
52.6	0.05
55.7	0.05
58.8	0.05
61.9	0.05
65	0.05
68.1	0.05
111.5	0.05
114.6	0.05
117.7	0.05
120.8	0.05
123.9	0.05
127	0.05
130.1	0.05
133.2	0.05
136.3	0.05
139.4	0.05
182.8	0.05
185.9	0.05
189	0.05
192.1	0.05
195.2	0.05
198.3	0.05
201.4	0.05
204.5	0.05
207.6	0.05
210.7	0.05
254.099	0.05
257.199	0.05
260.299	0.05
263.399	0.05
266.499	0.05
269.599	0.05
272.699	0.05
275.799	0.05
278.899	0.05
281.999	0.05
325.399	0.05
328.499	0.05
331.599	0.05
334.699	0.05
337.799	0.05
340.899	0.05
343.999	0.05
347.099	0.05
350.199	0.05
353.299	0.05
396.699	0.05
399.799	0.05
402.899	0.05
405.999	0.05
409.099	0.05
412.199	0.05
415.299	0.05
418.399	0.05
421.499	0.05
424.599	0.05
467.999	0.05
471.099	0.05
474.199	0.05
477.299	0.05
480.399	0.05
483.499	0.05
486.599	0.05
489.699	0.05
492.799	0.05
495.899	0.05
539.298	0.05
542.398	0.05
545.498	0.05
548.598	0.05
551.698	0.05
554.798	0.05
557.898	0.05
560.998	0.05
564.098	0.05
567.198	0.05
610.598	0.05
613.698	0.05
616.798	0.05
619.898	0.05
622.998	0.05
626.098	0.05
629.198	0.05
632.298	0.05
635.398	0.05
638.498	0.05
681.898	0.05
684.998	0.05
688.098	0.05
691.198	0.05
694.298	0.05
697.398	0.05
700.498	0.05
703.598	0.05
706.698	0.05
709.798	0.05
753.198	0.05
756.298	0.05
759.398	0.05
762.498	0.05
765.598	0.05
768.698	0.05
771.798	0.05
774.897	0.05
777.997	0.05
781.097	0.05
